optimizer,test_frac,preweight,reward,regularization,trialJobId,epochs,layer_1,activation,batch_size,learning_rate,dropout,layer_2,train_frac
adam,0.15,6,0.5377850109285262,0.002606032895048016,yXjSH,200,124,relu,100,1.8788489659884068e-05,0.2995872440009494,53,0.7
adam,0.15,8,0.628782668428012,0.040207646263808995,WDrLT,200,189,relu,50,0.0006506713982155108,0.37429777879956083,169,0.7
SGD,0.15,6,0.4582285361376227,0.03582578814877831,u3WBk,200,95,relu,30,1.5858119633195786e-06,0.19269095823746554,20,0.7
SGD,0.15,9,0.45374991878691595,0.018502735666196257,LrOOr,200,156,tanh,70,1.399733221649575e-06,0.2110024745284549,197,0.7
SGD,0.15,5,0.47618961156611367,0.07754047117318572,OmnHv,200,55,relu,50,1.4876065146212443e-05,0.00800534091204983,67,0.7
adam,0.15,8,0.6108767225368814,0.0007763693856865706,AW4MA,200,25,tanh,10,0.0011672936775687806,0.191344932553264,156,0.7
adam,0.15,7,0.6206375941418005,0.023030516199652653,yovC7,200,160,relu,30,0.0002456798123431377,0.1856554131831506,65,0.7
adam,0.15,8,0.5800557718218918,0.0542664559908341,i1Bmw,200,138,elu,5,0.009670919626692902,0.2140211197491828,100,0.7
adam,0.15,6,0.5276208146237664,0.009728799062906092,j6koA,200,114,relu,70,2.81935322177482e-06,0.36228443045071496,174,0.7
adam,0.15,3,0.6292709128787062,0.020045901272247413,n9jNH,200,77,tanh,70,0.013302124327166594,0.12294231497408413,185,0.7
adam,0.15,2,0.6188556530595994,0.03504307358296852,aavtv,200,173,relu,10,0.0020828511874249746,0.006631394172130856,121,0.7
SGD,0.15,8,0.6902796871823633,0.0312860573787424,CTuEC,200,184,tanh,10,0.07622178860708843,0.35794724884593443,19,0.7
SGD,0.15,7,0.5791064705145594,0.023970010120880847,b6WTe,200,40,tanh,5,0.31690860571982343,0.12017531209579323,191,0.7
SGD,0.15,5,0.455410512781277,0.037139277513683545,r3BsZ,200,77,elu,70,0.00013058033806758024,0.3077825892027588,170,0.7
adam,0.15,7,0.6634701401046612,0.02420546194638498,apmOz,200,188,tanh,30,0.0005193464820940825,0.19033847430847972,73,0.7
SGD,0.15,7,0.5018769291024163,0.009428969557256028,H7Fgy,200,78,relu,30,0.00011590542718404608,0.2576849661896337,63,0.7
adam,0.15,8,0.5589138930730491,0.09225835518995625,s7EyL,200,102,elu,10,0.004950283717029294,0.26115573037150974,136,0.7
SGD,0.15,8,0.6281505756513965,0.05164724336915044,oqyYa,200,101,tanh,50,0.006063214235790371,0.22797076248724904,120,0.7
adam,0.15,9,0.6502636683252229,0.0015661380319983765,Hq00g,200,70,tanh,30,1.3564850424061708e-05,0.38623004784821247,126,0.7
adam,0.15,8,0.6135453758086153,0.03198756587195361,X5Am9,200,37,tanh,30,0.001211521187603267,0.3619904927077233,68,0.7
SGD,0.15,10,0.637875890620555,0.06569564339103151,OQwfG,200,197,tanh,100,0.06774945514167363,0.13752434424860352,16,0.7
SGD,0.15,4,0.6355004413767624,0.0647168331986386,TO3JL,200,185,tanh,10,0.07449317160270079,0.08285056336070998,36,0.7
SGD,0.15,10,0.6368647362674105,0.04591971759309449,UOP5f,200,142,tanh,10,0.24111050328444933,0.06155171971466783,91,0.7
SGD,0.15,9,0.6525571595370734,0.014559298951703572,K9QEC,200,199,tanh,5,0.02918432629128263,0.3012451053607356,41,0.7
SGD,0.15,5,0.572449185354875,0.02859106452739902,ktkQD,200,155,elu,10,0.00034725640947328747,0.1643056025480059,86,0.7
adam,0.15,7,0.6726029565996187,0.059747233166918115,TaFv3,200,176,tanh,30,4.387188450291412e-05,0.33183600619173304,34,0.7
SGD,0.15,9,0.478206816163768,0.08064171451568633,O996O,200,169,tanh,100,4.903842498145979e-05,0.3339067033063968,10,0.7
adam,0.15,10,0.6006803528475965,0.05878283496974617,f892Q,200,141,tanh,30,6.071122753057188e-06,0.32520085473976384,32,0.7
adam,0.15,6,0.67238538153192,0.0740339641810801,Mbllx,200,125,elu,100,4.660823841623731e-05,0.27055566212415977,48,0.7
SGD,0.15,7,0.4864821350313915,0.045108705419780244,PWiUT,200,176,tanh,10,3.573290227407844e-05,0.39336294870864674,29,0.7
adam,0.15,4,0.5106837000878124,0.09751499561137578,HhbAi,200,127,tanh,50,4.595105478962008e-06,0.3416757518739903,51,0.7
adam,0.15,6,0.572974453862264,0.04348206999465184,OgV2H,200,198,tanh,30,0.14665911743213997,0.28157127659172726,22,0.7
SGD,0.15,9,0.5811731915952983,0.08815054601968314,x0gbp,200,183,tanh,5,0.0001332924358582232,0.3989365103543823,78,0.7
SGD,0.15,5,0.5874005333753705,0.06846808670686355,aPAqd,200,163,elu,10,0.003082286832644615,0.23216411354280736,15,0.7
adam,0.15,7,0.6455099220082149,0.05566536789249489,XqqMl,200,150,tanh,50,1.0330108326649606e-05,0.35571039965865686,54,0.7
SGD,0.15,6,0.5370957440119267,0.061262058468380856,zf6ow,200,116,relu,100,0.020568054447080118,0.3079468902462933,148,0.7
adam,0.15,9,0.6379939388223137,0.0493310638289418,ncoKg,200,92,tanh,30,2.970127439667597e-05,0.24678763997024497,107,0.7
SGD,0.15,4,0.47090202467199554,0.0708938690911391,JOf99,200,131,relu,70,0.0008769155246718234,0.3765697433065343,10,0.7
adam,0.15,8,0.5953697648914148,0.0816305313021019,FTwgx,200,178,tanh,10,1.196330254671258e-06,0.34184663442912655,25,0.7
adam,0.15,8,0.6392028485558682,0.008335070889619364,uKLFx,200,165,elu,30,0.0002296114939107315,0.2887837226939085,42,0.7
SGD,0.15,7,0.48101081756600406,0.040048840322213876,g1y9X,200,11,relu,50,2.406929864706785e-06,0.16155030033310672,105,0.7
adam,0.15,5,0.6599728437176522,0.03053147796125745,VvlTq,200,150,tanh,5,7.039264034993653e-05,0.3981133437877046,58,0.7
adam,0.15,10,0.6417651428684983,0.04945052988075517,FDbWl,200,193,tanh,10,0.0019808492584934877,0.32575970509629365,83,0.7
SGD,0.15,3,0.625949161062991,0.017876579965674103,es9m3,200,114,relu,70,0.05959186301753079,0.214146514037242,36,0.7
adam,0.15,8,0.4967665617799802,0.03571226088859954,QUsXw,200,134,elu,30,0.391541509038111,0.3725028009728687,95,0.7
SGD,0.15,6,0.48328582065104386,0.0571869736583932,vtkC3,200,146,tanh,10,1.9289148090186264e-05,0.03063806159463306,155,0.7
adam,0.15,7,0.6391176346658971,0.02599468156524765,rt7RG,200,92,tanh,70,0.00048042073349851975,0.3108284792673874,44,0.7
SGD,0.15,7,0.6260693924218749,0.005787307873192794,ZYDpk,200,158,relu,30,0.008010086944448613,0.23749598231890753,72,0.7
adam,0.15,9,0.5689800557094072,0.039450331814706245,xWNsT,200,181,tanh,5,0.014449746615317772,0.2836654137484351,62,0.7
SGD,0.15,2,0.4715847911189107,0.014583947710261627,XJUuI,200,188,elu,100,0.00022396258264024114,0.35524921918238855,112,0.7
adam,0.15,8,0.5758375717446352,0.0848884726212485,WB5Gy,200,61,tanh,50,0.03190731918521343,0.17358949492946024,134,0.7
SGD,0.15,6,0.44916095052535504,0.07446850718548137,NZqqG,200,117,tanh,30,8.197941498178901e-05,0.09309588569771227,199,0.7
adam,0.15,3,0.5918937519965218,0.0625155100096179,nalSy,200,173,relu,10,0.0016133345783706462,0.3782369507917393,181,0.7
SGD,0.15,5,0.5620622257463882,0.05227901091534857,IVzsd,200,47,tanh,70,0.002899816224085186,0.26922405056894044,18,0.7
adam,0.15,8,0.6071510265064544,0.03308121988453024,hTUaX,200,107,elu,10,6.168509347898992e-06,0.31925144610650424,30,0.7
SGD,0.15,10,0.4494379229093909,0.09970113741104525,whrlU,200,192,tanh,30,2.7318961387165194e-06,0.20854803352162007,11,0.7
adam,0.15,9,0.5380749348278446,0.02048870768438104,Yr7U6,200,16,tanh,5,0.14291138590431982,0.29455574800933826,95,0.7
SGD,0.15,7,0.4895259245110176,0.027510932803672325,zV2jP,200,166,tanh,100,0.0008274478643608312,0.25529639618789035,79,0.7
SGD,0.15,9,0.6151430801904411,0.04289980321416444,kn0wJ,200,86,relu,10,0.005459914259406429,0.1426796090198857,56,0.7
adam,0.15,4,0.5773045510173849,0.09051264333316236,TbKsV,200,155,tanh,30,2.233406028776694e-05,0.34003196196421687,69,0.7
SGD,0.15,5,0.46240270675701173,0.04691688316408367,fyku8,200,200,elu,50,1.0301727377376513e-05,0.22062389870837007,24,0.7
adam,0.15,10,0.5707898890824247,0.0680218138388338,fOWuT,200,28,tanh,10,0.21822412376667352,0.36513101289173044,47,0.7
SGD,0.15,8,0.5349939540428856,0.013797974149994195,w2RIA,200,172,tanh,30,0.000342818148077595,0.20200750621496097,36,0.7
adam,0.15,7,0.641326943329776,0.07656433184733741,zgise,200,138,tanh,100,0.00014213435720209066,0.3845705160398175,162,0.7
SGD,0.15,6,0.6591363724635488,0.004406075430332071,J1Idv,200,67,elu,70,0.0333156097588372,0.27162030157109535,113,0.7
adam,0.15,6,0.6065260244666018,0.07426086867479359,cClaC,200,127,elu,100,4.549584566862906e-05,0.24004018646249686,49,0.7
adam,0.15,7,0.5676324707271196,0.06062067790127783,qvnpk,200,121,elu,100,1.1354934736222308e-05,0.3517798657365013,15,0.7
adam,0.15,6,0.4697046833202994,0.09632651932324593,MzKpr,200,108,elu,100,1.6064599621007993e-06,0.2729874049865892,63,0.7
adam,0.15,5,0.5649487787497638,0.08142513546364918,foSkU,200,84,elu,100,5.93272362149949e-06,0.3011763338669834,23,0.7
adam,0.15,7,0.6181482810798258,0.07165103846427562,Qmd0E,200,149,elu,100,6.192488907607864e-05,0.2502483306226129,36,0.7
adam,0.15,6,0.6207726290926765,0.05447481248736055,JBgT8,200,100,elu,100,3.0109650562218197e-05,0.31469263503642303,30,0.7
adam,0.15,8,0.6230602991085177,0.08541929062806547,v7Xth,200,162,elu,5,0.00019437923625815324,0.3351101910719047,52,0.7
adam,0.15,5,0.6481802240746506,0.07783925874038713,WUQvn,200,133,elu,10,8.95704706621192e-05,0.34742336024257736,76,0.7
adam,0.15,7,0.6429294539518766,0.06485938489303987,M00A8,200,194,relu,50,0.00043757780018665996,0.18328345952621022,87,0.7
adam,0.15,6,0.613544534778857,0.038138168966761185,PSUDA,200,145,elu,30,0.0006480224723568572,0.325742393342478,41,0.7
adam,0.15,4,0.5547062010035119,0.09340494772746255,JMRvn,200,186,tanh,100,1.5620850630028688e-05,0.3642575014525308,61,0.7
adam,0.15,8,0.6107325768975527,0.058024152010056305,GQhjS,200,180,tanh,10,0.003696731627367938,0.3905502845298099,12,0.7
SGD,0.15,8,0.5095948742741014,0.047973417095295436,Y5hWE,200,168,elu,30,0.00015991080942142925,0.291160581355461,19,0.7
adam,0.15,9,0.6367267920556668,0.051449616147253005,kcegt,200,124,tanh,5,0.0011283774430524724,0.27972084836915445,27,0.7
adam,0.15,7,0.5099406375441976,0.07011659585611182,fwBl3,200,155,relu,70,3.7867873615352796e-06,0.26081356420239094,45,0.7
SGD,0.15,5,0.45019187011736284,0.043420364748377634,chQUc,200,137,tanh,10,1.7601509670508326e-06,0.22410764567224573,67,0.7
adam,0.15,9,0.6073205762042242,0.0659190167700956,jOSQg,200,110,elu,30,7.620479557547259e-06,0.36963780845792343,35,0.7
SGD,0.15,7,0.4418657230403653,0.08497290839395108,wUxYC,200,176,tanh,50,4.285644494738722e-05,0.30662812394079,57,0.7
adam,0.15,3,0.6338103216323037,0.022621507365278463,xDzl3,200,99,tanh,100,2.4839890382944756e-05,0.32435807191961424,100,0.7
SGD,0.15,6,0.4846725089600662,0.03340780021054067,qfmzh,200,73,relu,10,9.896544475413518e-05,0.2985975271230229,138,0.7
adam,0.15,6,0.6288258701650724,0.04138374813895984,DY8He,200,160,tanh,30,0.010589067886734804,0.24346410050994796,40,0.7
SGD,0.15,8,0.5006708928462669,0.030155193061872174,YPJUn,200,50,elu,70,0.00033334558687933097,0.39968402154805677,73,0.7
adam,0.15,4,0.6274059943953826,0.06255107748213994,vsijq,200,143,tanh,100,5.7200648015092725e-05,0.1946287793346117,52,0.7
SGD,0.15,8,0.6169707776651281,0.05538720669693044,HYg7Q,200,190,tanh,5,0.04679485372756144,0.38258851297528534,83,0.7
adam,0.15,10,0.5174254123358385,0.03612420999276857,cLz4Z,200,184,elu,10,0.10449398513099584,0.15187585312312726,15,0.7
adam,0.15,7,0.5587162335000982,0.059312127482800125,HmQkV,200,151,relu,30,1.4043038126966249e-05,0.3327735295988138,130,0.7
SGD,0.15,5,0.5617571829454379,0.07868555768110942,mDD5v,200,171,tanh,50,0.47105437458488897,0.23206793383132032,33,0.7
adam,0.15,7,0.5377148193842617,0.05262373775445198,ZTufv,200,195,tanh,10,0.01725309689380737,0.1111901483269801,92,0.7
SGD,0.15,6,0.4624009592634352,0.08793217115006659,FRWBo,200,128,elu,100,3.4597386788200706e-06,0.053403849304520384,27,0.7
adam,0.15,9,0.6156883544297076,0.07261485201908816,ektB8,200,121,tanh,30,0.0011964737239634556,0.34535106641923213,21,0.7
SGD,0.15,8,0.45782543288679084,0.011352910659210437,TIAxo,200,86,relu,70,3.477307642871043e-05,0.3564938020191884,115,0.7
adam,0.15,10,0.6271783224359463,0.06719083037028233,wog7Z,200,176,elu,5,0.0017078889100575405,0.26781930454393127,143,0.7
SGD,0.15,7,0.5960244830046597,0.04545330278627424,eSA1z,200,96,tanh,10,0.00029088702184003595,0.27952415056663965,191,0.7
adam,0.15,4,0.646165408983467,0.025398680994715067,tvq7Q,200,199,tanh,100,0.0074419703475022666,0.3156157827903564,124,0.7
adam,0.15,5,0.6116643731840097,0.07508067068878789,BT9dX,200,104,elu,30,0.00011807075413948895,0.21092794024242842,100,0.7
SGD,0.15,9,0.5174253844151393,0.021531098064555325,gtkVj,200,139,tanh,50,0.0005915201460613187,0.1760135841688104,39,0.7
adam,0.15,8,0.6232288994104569,0.017266121997919118,nzX7o,200,60,relu,100,0.0025827967054736947,0.39067206871267224,59,0.7
SGD,0.15,6,0.5683463484611871,0.07963172093345577,UI7Nk,200,112,elu,10,0.00018608502963732287,0.2542186716983193,47,0.7
adam,0.15,7,0.5629313704523664,0.05685273211427842,JnJuT,200,165,tanh,30,2.2284851153258496e-06,0.3346537707458022,11,0.7
adam,0.15,5,0.6301525121653934,0.06364616525449154,zOk30,200,158,tanh,70,7.349419141213813e-05,0.2901851553993333,69,0.7
SGD,0.15,6,0.4750360606948038,0.06981818434649986,bzjeU,200,82,elu,100,1.9244700990205146e-05,0.3762762206545743,65,0.7
adam,0.15,9,0.6363839868771803,0.03792732614387245,wnLVC,200,118,tanh,5,8.725961125807587e-06,0.26389505528390444,18,0.7
adam,0.15,8,0.5311930064450304,0.048442987300524244,xrDGu,200,29,elu,10,1.1616467955608237e-06,0.3533351968544729,77,0.7
SGD,0.15,7,0.6384525798848555,0.0009349278099169481,LEvEB,200,92,relu,30,0.004485090154096393,0.30807095678372853,55,0.7
adam,0.15,2,0.6606966094151718,0.060743468647534105,T3gEk,200,37,tanh,50,0.0008654079622806959,0.20200253419931713,31,0.7
SGD,0.15,3,0.6050692619271151,0.0965270139415148,dAluf,200,153,tanh,100,0.20474148275504525,0.3598969150855048,108,0.7
adam,0.15,8,0.6522511185202051,0.08263924442977072,fow68,200,182,elu,10,0.00040758834799007,0.31824256007322566,83,0.7
adam,0.15,6,0.6220949838955987,0.0998964193933592,DA92f,200,146,tanh,30,5.812024788274028e-06,0.2842609072915042,176,0.7
SGD,0.15,10,0.48144166134483485,0.04149776463458755,g6YHG,200,177,elu,70,4.670280672417981e-05,0.23693573667199988,44,0.7
adam,0.15,7,0.5267375625222036,0.05084858512638937,HCVXk,200,188,relu,100,0.10121295503485979,0.2993835416406908,26,0.7
SGD,0.15,5,0.5463281653651777,0.09203411176258178,etzSk,200,132,tanh,10,0.00025514969879253244,0.12787660262144887,49,0.7
adam,0.15,4,0.5792516241888028,0.028817006247243742,vRUIU,200,163,tanh,5,0.02419623467445967,0.24979709561668,21,0.7
adam,0.15,9,0.634951898524998,0.053281933490054015,EHjJ2,200,196,elu,30,2.668599349121911e-05,0.39870493536322194,72,0.7
SGD,0.15,6,0.4712888985061259,0.07276920768997495,fdnT2,200,170,tanh,50,0.00010315526651787363,0.3692039183463518,88,0.7
adam,0.15,8,0.5410788842350716,0.08792983527189224,Intri,200,75,elu,100,3.95526989241448e-06,0.2230409423722549,119,0.7
SGD,0.15,7,0.4815809394944609,0.07642627116422766,EFfjz,200,148,relu,10,1.017090055899119e-06,0.21644442751997253,14,0.7
adam,0.15,5,0.6393414238183182,0.033678632745386176,d7ayE,200,141,tanh,30,1.1516083873038673e-05,0.32736209141453815,61,0.7
adam,0.15,6,0.6409321089780533,0.00766989170035879,NZbTC,200,135,tanh,100,1.5788473785697603e-05,0.16259619187455435,38,0.7
SGD,0.15,8,0.620987247589283,0.04510012119965685,g1XwH,200,66,elu,70,0.0505932072589061,0.025375999808161437,163,0.7
adam,0.15,7,0.6408370215361087,0.030977673867980074,HRqhw,200,130,tanh,10,0.0001499696557164432,0.27440069597644157,80,0.7
SGD,0.15,9,0.5343152539441963,0.015842342989132244,mJ9AT,200,45,elu,5,5.479204291311106e-05,0.3483282135840225,34,0.7
adam,0.15,10,0.5125168519093589,0.02410972961981167,PaADk,200,190,relu,30,0.3359928137215742,0.3380486916757273,10,0.7
adam,0.15,7,0.5941948184715465,0.08355938762430853,E7rrl,200,124,tanh,50,0.010424427534053413,0.18193297183596663,52,0.7
SGD,0.15,6,0.4562900631357302,0.011225556249532746,G5Qob,200,17,tanh,100,1.9938589459088474e-06,0.10011588531605013,95,0.7
adam,0.15,8,0.599013986721111,0.059143175763435515,EUkVt,200,158,elu,10,0.0023177934906140406,0.3824560993328573,28,0.7
SGD,0.15,5,0.4546543611958522,0.06619879635577408,hc9fs,200,168,tanh,30,3.768484369138118e-05,0.2602999659284604,102,0.7
adam,0.15,4,0.5600295127654537,0.09431559753325137,LWJIz,200,79,elu,70,7.980917752684786e-06,0.3037604281527252,153,0.7
adam,0.15,9,0.5941904947071307,0.0686511753486534,fM6dV,200,174,relu,100,0.0004712738904525268,0.07134880532964397,24,0.7
SGD,0.15,7,0.5905950294640703,0.04963819063540977,SgAhc,200,180,tanh,10,0.0066462617750198735,0.15426425719870063,42,0.7
adam,0.15,8,0.6760464575975644,0.055824411111116856,jJE4I,200,114,tanh,5,2.2756812981039775e-05,0.00014612443025707744,65,0.7
adam,0.15,10,0.6146592246720617,0.027928123825603626,u3n8x,200,90,tanh,5,2.7649366936121253e-06,0.0369332479194617,75,0.7
SGD,0.15,9,0.43537245708471267,0.03968768228716432,jThmd,200,104,tanh,5,4.869299205768131e-06,0.005124083210579499,64,0.7
